crop	disease	candidate_rows	kept_rows
Cornelian Cherry Dogwood	Brown Rot	11	11
Corn	Brown Spot Of Corn	11	11
Ohio Buckeye	Rust	11	11
Switchgrass	Switchgrass Rust	11	11
Reed Canarygrass	Leaf Blight	11	11
Dark Tobacco	Phytophthora Blight	11	11
Grape	Pseudocercospora Leaf Spot	11	11
Burley Tobacco	Rhizoctonia Damping-Off, Blight And Rot	11	11
Corn	Dry Rot Of Ears And Stalks Of Maize	11	11
Garden Onion	Purple Blotch	11	11
Peach	Cladosporium Fungi	11	11
European Crabapple	Bitter Rot And Anthracnose	11	11
Common Pear	Bitter Rot And Anthracnose	11	11
Eastern White Pine	White Pine Blister Rust	11	11
Cedar	Cryptosporiopsis Canker	11	11
Oak	Cytospora Cankers	11	11
Trumpet Honeysuckle	Powdery Mildew	11	11
Kale	Leptosphaerulina Leaf Blights	11	11
Juniper	Pestalotiopsis Leaf Spot	11	11
Limber Pine	Phomopsis Cankers And Twig Blights	11	11
Pine	Ploioderma Needle Cast Of Pine	11	11
Serviceberry	Powdery Mildew	11	11
Turf (General)	Puccinia Rusts	11	11
Cultivated Garlic	Bread Mold	11	11
Alder	Sooty Mold	11	11
Spruce	Sirococcus Blight	11	11
Eastern White Pine	Leaf Blotch	11	11
Okra	Choanephora Fruit Rot	11	11
Sweet Potato	Charcoal Rot	11	11
Potato Dextrose Agar (Pda)	Cochliobolus Leaf Spot	11	11
Highbush Blueberry	Diaporthe Vaccinii Shear	11	11
Tulip	Mycelial Neck Rot	11	11
Geranium	Rust	11	11
Carrot	Alternaria Blight	11	11
Apple	Blue Mold	11	11
Watermelon	Watermelon Mosaic Virus	11	11
Squash	Pythium Diseases	11	11
Melon	Pythium Diseases	11	11
Sweet Potato	Pythium Root And Stem Rot	11	11
Hops	Apple Mosaic Virus	11	11
Live Oak	Oak Wilt	11	11
Pepper	Bitter Rot And Anthracnose	11	11
Virginia Pine	Leptographium Root Disease	10	10
Watermelon	Cucurbit Yellow Vine Decline	10	10
Pepper	Blossom End Rot	10	10
Sweet Cherry	Powdery Mildew	10	10
Alfalfa	Stemphylium Leaf Spot	10	10
Apple	Beech Bark Disease	10	10
Wheat	Dwarf Bunt, Dwarf Smut	10	10
Peach	Peach Mosaic Virus	10	10
Corn	Xanthomonas Vasicola	10	10
Ramp	Septoria Leaf Spot And Cankers	10	10
Soybean	Rhizoctonia Damping-Off, Blight And Rot	10	10
Strawberry	Leaf Spot	10	10
Gourd	Fusarium Damping-Off	10	10
Peony	Phytophthora Crown Rot	10	10
Norway Spruce	Rhizosphaera Needle Cast	10	10
Plum/Cherry	Rust	10	10
Rice	Narrow Brown Leaf Spot	10	10
Carrot	Alternaria Black Molds / Stem Cankers	10	10
Hosta	Southern Blight	10	10
Tomato	Gray Molds	10	10
Cucumber	Scab	10	10
Pine	Pine Needle Rusts	10	10
Serviceberry	Anthracnose	10	10
Japanese Maple	Anthracnose	10	10
Northern Red Oak	Cryptocline Fungus	10	10
Northern White Cedar	Needle Blight Of Cedar	10	10
Pine	Diplodia Sapinea De Not.	10	10
Birch	Powdery Mildew	10	10
Potato	Fusarium Wilts, Blights, Rots And Damping-Off	10	10
European Red Raspberry	Gnomonia Cane Canker	10	10
Japanese Flowering Cherry	Hypocrea	10	10
Scots Pine	Brown Spot Needle Blight	10	10
Juniper	Needle Cast	10	10
Oak	Monochaetia Fungi	10	10
Plum/Cherry	Powdery Mildew	10	10
Oat	Crown Rust	10	10
Phlox	Root, Stem, And Crown Rots	10	10
Eastern Hemlock	Hemlock Tip Blight	10	10
Scots Pine	Sphaeropsis Tip Blights And Cankers	10	10
Daphne	Tubercularia Cankers	10	10
Red Pine	Annosum Root Disease	10	10
